Hydration	C3S	C2S	C3A	C4AF	MK	CSHQ	Portlandite	Gypsum	Calcite	AFt	AFm	MC	HC	Stratlingite	C3AH6	Hydrotalcite	Fe-siliceous hy	aq_gen
-1.924453	48.434343	4.2143124	6.8760042	7.1973202	16.124845	0.9278328	0	4.0499254	8.6597911	2.6583093	0	0	0	0	0	0	0.025304097	49.461958
-1.8827287	48.419124	4.2137956	6.8715413	7.1968811	16.123132	0.94644414	0	4.0415655	8.6597895	2.6891651	0	0	0	0	0	0	0.025828624	49.44271
-1.8416375	48.402323	4.213248	6.8665436	7.1963756	16.121277	0.96695699	0	4.0322569	8.6597887	2.7234211	0	0	0	0	0	0	0.02641479	49.421394
-1.7986029	48.382566	4.2126304	6.8609485	7.195794	16.119137	0.99106179	0	4.0219439	8.6597874	2.7621429	0	0	0	0	0	0	0.027063556	49.396925
-1.7594507	48.36244	4.2120264	6.8546859	7.195125	16.116998	1.0155732	0	4.0103349	8.6597859	2.8041862	0	0	0	0	0	0	0.027794286	49.371049
-1.7166988	48.337844	4.2113174	6.8476781	7.1943559	16.114433	1.0455437	0	3.9975	8.6597842	2.8521897	0	0	0	0	0	0	0.028639524	49.340715
-1.6757175	48.311396	4.2105859	6.8398382	7.1934719	16.111726	1.0777561	0	3.9830848	8.6597823	2.9050968	0	0	0	0	0	0	0.029599375	49.307663
-1.634512	48.281631	4.2097952	6.8310693	7.1924563	16.108735	1.1140219	0	3.9669535	8.6597802	2.9641465	0	0	0	0	0	0	0.030696458	49.270715
-1.5934598	48.248443	4.2089484	6.821264	7.1912897	16.105461	1.1544871	0	3.9488521	8.6597778	3.0298863	0	0	0	0	0	0	0.031948856	49.229641
-1.5512937	48.210249	4.2080127	6.8103023	7.1899501	16.101763	1.2011276	0	3.9285709	8.6597752	3.1036738	0	0	0	0	0	0	0.033384108	49.183192
-1.5100415	48.168382	4.2070278	6.7980512	7.1884122	16.097783	1.2523253	0	3.9056872	8.6597722	3.1854429	0	0	0	0	0	0	0.035019106	49.132098
-1.4685211	48.121218	4.2059619	6.7843627	7.1866469	16.093379	1.310122	0	3.8798988	8.6597686	3.2766982	0	0	0	0	0	0	0.036887832	49.075056
-1.4317983	48.074836	4.2049524	6.7690726	7.1846213	16.08912	1.3669934	0	3.8504956	8.6597651	3.3753039	0	0	0	0	0	0	0.038994139	49.015846
-1.3872161	48.011963	4.2036363	6.7519988	7.1822972	16.083446	1.4444889	0	3.8177224	8.6597609	3.4903917	0	0	0	0	0	0	0.041448559	48.942846
-1.3467875	47.948023	4.202351	6.7329397	7.1796312	16.077778	1.5234548	0	3.7803599	8.6597564	3.6155573	0	0	0	0	0	0	0.044223729	48.865925
-1.30103	47.866752	4.2007825	6.7116721	7.1765735	16.070699	1.6243453	0	3.7382417	8.6597507	3.7593907	0	0	0	0	0	0	0.047434282	48.774358
-1.2596373	47.78414	4.1992518	6.6879496	7.1730674	16.063629	1.7271597	0	3.6902296	8.6597447	3.9157437	0	0	0	0	0	0	0.051065583	48.678019
-1.2218487	47.700331	4.1977547	6.6615004	7.1690475	16.056567	1.8316796	0	3.6357321	8.6597379	4.0860574	0	0	0	0	0	0	0.055175466	48.576418
-1.1804561	47.598348	4.1959981	6.6320251	7.1644396	16.048103	1.9445553	0.020227038	3.5619828	8.6597292	4.2792814	0	0	0	0	0	0	0.059911636	48.465399
-1.1366771	47.477647	4.1939978	6.599195	7.1591584	16.038243	2.0710152	0.053866901	3.4733251	8.6597188	4.4971647	0	0	0	0	0	0	0.065343799	48.341325
-1.09691	47.355321	4.1920446	6.5626496	7.1531067	16.028398	2.1985726	0.088189446	3.3767915	8.6597076	4.7342144	0	0	0	0	0	0	0.071498623	48.209506
-1.0555173	47.213792	4.1898639	6.5219947	7.1461733	16.017166	2.3457853	0.12821855	3.2686243	8.6596951	4.9999102	0	0	0	0	0	0	0.07854788	48.060228
-1.0132283	47.05268	4.1874693	6.4768009	7.1382314	16.004554	2.5129231	0.1741204	3.1478892	8.6596809	5.2965368	0	0	0	0	0	0	0.086610347	47.892504
